SNV,SG,window_length,polyorder,deriv,bin_size,Factor
True,True,13.0,1.0,1.0,5,1.0
True,True,13.0,1.0,1.0,5,1.05
True,True,13.0,1.0,1.0,5,1.1
True,True,13.0,1.0,1.0,5,1.1500000000000001
True,True,13.0,1.0,1.0,5,1.2000000000000002
True,True,13.0,1.0,1.0,5,1.25
True,True,13.0,1.0,1.0,5,1.3
True,True,13.0,1.0,1.0,5,1.35
True,True,13.0,2.0,1.0,5,0.8
True,True,13.0,2.0,1.0,5,0.8500000000000001
True,True,13.0,2.0,1.0,5,0.9
True,True,13.0,2.0,1.0,5,0.9500000000000001
True,True,13.0,2.0,1.0,5,1.0
True,True,13.0,2.0,1.0,5,1.05
True,True,13.0,2.0,1.0,5,1.1
True,True,13.0,2.0,1.0,5,1.1500000000000001
True,True,13.0,2.0,1.0,5,1.2000000000000002
True,True,13.0,2.0,1.0,5,1.25
True,True,13.0,2.0,1.0,5,1.3
True,True,13.0,2.0,1.0,5,1.35
True,True,13.0,2.0,2.0,5,0.8
True,True,13.0,2.0,2.0,5,0.8500000000000001
True,True,13.0,2.0,2.0,5,0.9
True,True,13.0,2.0,2.0,5,0.9500000000000001
True,True,13.0,2.0,2.0,5,1.0
True,True,13.0,2.0,2.0,5,1.05
True,True,13.0,2.0,2.0,5,1.1
True,True,13.0,2.0,2.0,5,1.1500000000000001
True,True,13.0,2.0,2.0,5,1.2000000000000002
True,True,13.0,2.0,2.0,5,1.25
True,True,13.0,2.0,2.0,5,1.3
True,True,13.0,2.0,2.0,5,1.35
True,True,3.0,1.0,1.0,10,0.8
True,True,3.0,1.0,1.0,10,0.8500000000000001
True,True,3.0,1.0,1.0,10,0.9
True,True,3.0,1.0,1.0,10,0.9500000000000001
True,True,3.0,1.0,1.0,10,1.0
True,True,3.0,1.0,1.0,10,1.05
True,True,3.0,1.0,1.0,10,1.1
True,True,3.0,1.0,1.0,10,1.1500000000000001
True,True,3.0,1.0,1.0,10,1.2000000000000002
True,True,3.0,1.0,1.0,10,1.25
True,True,3.0,1.0,1.0,10,1.3
True,True,3.0,1.0,1.0,10,1.35
True,True,3.0,2.0,1.0,10,0.8
True,True,3.0,2.0,1.0,10,0.8500000000000001
True,True,3.0,2.0,1.0,10,0.9
True,True,3.0,2.0,1.0,10,0.9500000000000001
True,True,3.0,2.0,1.0,10,1.0
True,True,3.0,2.0,1.0,10,1.05
True,True,3.0,2.0,1.0,10,1.1
True,True,3.0,2.0,1.0,10,1.1500000000000001
True,True,3.0,2.0,1.0,10,1.2000000000000002
True,True,3.0,2.0,1.0,10,1.25
True,True,3.0,2.0,1.0,10,1.3
True,True,3.0,2.0,1.0,10,1.35
True,True,3.0,2.0,2.0,10,0.8
True,True,3.0,2.0,2.0,10,0.8500000000000001
True,True,3.0,2.0,2.0,10,0.9
True,True,3.0,2.0,2.0,10,0.9500000000000001
True,True,3.0,2.0,2.0,10,1.0
True,True,3.0,2.0,2.0,10,1.05
True,True,3.0,2.0,2.0,10,1.1
True,True,3.0,2.0,2.0,10,1.1500000000000001
True,True,3.0,2.0,2.0,10,1.2000000000000002
True,True,3.0,2.0,2.0,10,1.25
True,True,3.0,2.0,2.0,10,1.3
True,True,3.0,2.0,2.0,10,1.35
True,True,7.0,1.0,1.0,10,0.8
True,True,7.0,1.0,1.0,10,0.8500000000000001
True,True,7.0,1.0,1.0,10,0.9
True,True,7.0,1.0,1.0,10,0.9500000000000001
True,True,7.0,1.0,1.0,10,1.0
True,True,7.0,1.0,1.0,10,1.05
True,True,7.0,1.0,1.0,10,1.1
True,True,7.0,1.0,1.0,10,1.1500000000000001
True,True,7.0,1.0,1.0,10,1.2000000000000002
True,True,7.0,1.0,1.0,10,1.25
True,True,7.0,1.0,1.0,10,1.3
True,True,7.0,1.0,1.0,10,1.35
True,True,7.0,2.0,1.0,10,0.8
True,True,7.0,2.0,1.0,10,0.8500000000000001
True,True,7.0,2.0,1.0,10,0.9
True,True,7.0,2.0,1.0,10,0.9500000000000001
True,True,7.0,2.0,1.0,10,1.0
True,True,7.0,2.0,1.0,10,1.05
True,True,7.0,2.0,1.0,10,1.1
True,True,7.0,2.0,1.0,10,1.1500000000000001
True,True,7.0,2.0,1.0,10,1.2000000000000002
True,True,7.0,2.0,1.0,10,1.25
True,True,7.0,2.0,1.0,10,1.3
True,True,7.0,2.0,1.0,10,1.35
True,True,7.0,2.0,2.0,10,0.8
True,True,7.0,2.0,2.0,10,0.8500000000000001
True,True,7.0,2.0,2.0,10,0.9
True,True,7.0,2.0,2.0,10,0.9500000000000001
True,True,7.0,2.0,2.0,10,1.0
True,True,7.0,2.0,2.0,10,1.05
True,True,7.0,2.0,2.0,10,1.1
True,True,7.0,2.0,2.0,10,1.1500000000000001
True,True,7.0,2.0,2.0,10,1.2000000000000002
True,True,7.0,2.0,2.0,10,1.25
True,True,7.0,2.0,2.0,10,1.3
True,True,7.0,2.0,2.0,10,1.35
True,True,13.0,1.0,1.0,10,0.8
True,True,13.0,1.0,1.0,10,0.8500000000000001
True,True,13.0,1.0,1.0,10,0.9
True,True,13.0,1.0,1.0,10,0.9500000000000001
True,True,13.0,1.0,1.0,10,1.0
True,True,13.0,1.0,1.0,10,1.05
True,True,13.0,1.0,1.0,10,1.1
True,True,13.0,1.0,1.0,10,1.1500000000000001
True,True,13.0,1.0,1.0,10,1.2000000000000002
True,True,13.0,1.0,1.0,10,1.25
True,True,13.0,1.0,1.0,10,1.3
True,True,13.0,1.0,1.0,10,1.35
True,True,13.0,2.0,1.0,10,0.8
True,True,13.0,2.0,1.0,10,0.8500000000000001
True,True,13.0,2.0,1.0,10,0.9
True,True,13.0,2.0,1.0,10,0.9500000000000001
True,True,13.0,2.0,1.0,10,1.0
True,True,13.0,2.0,1.0,10,1.05
True,True,13.0,2.0,1.0,10,1.1
True,True,13.0,2.0,1.0,10,1.1500000000000001
True,True,13.0,2.0,1.0,10,1.2000000000000002
True,True,13.0,2.0,1.0,10,1.25
True,True,13.0,2.0,1.0,10,1.3
True,True,13.0,2.0,1.0,10,1.35
True,True,13.0,2.0,2.0,10,0.8
True,True,13.0,2.0,2.0,10,0.8500000000000001
True,True,13.0,2.0,2.0,10,0.9
True,True,13.0,2.0,2.0,10,0.9500000000000001
True,True,13.0,2.0,2.0,10,1.0
True,True,13.0,2.0,2.0,10,1.05
True,True,13.0,2.0,2.0,10,1.1
True,True,13.0,2.0,2.0,10,1.1500000000000001
True,True,13.0,2.0,2.0,10,1.2000000000000002
True,True,13.0,2.0,2.0,10,1.25
True,True,13.0,2.0,2.0,10,1.3
True,True,13.0,2.0,2.0,10,1.35
True,True,3.0,1.0,1.0,15,0.8
True,True,3.0,1.0,1.0,15,0.8500000000000001
True,True,3.0,1.0,1.0,15,0.9
True,True,3.0,1.0,1.0,15,0.9500000000000001
True,True,3.0,1.0,1.0,15,1.0
True,True,3.0,1.0,1.0,15,1.05
True,True,3.0,1.0,1.0,15,1.1
True,True,3.0,1.0,1.0,15,1.1500000000000001
True,True,3.0,1.0,1.0,15,1.2000000000000002
True,True,3.0,1.0,1.0,15,1.25
True,True,3.0,1.0,1.0,15,1.3
True,True,3.0,1.0,1.0,15,1.35
True,True,3.0,2.0,1.0,15,0.8
True,True,3.0,2.0,1.0,15,0.8500000000000001
True,True,3.0,2.0,1.0,15,0.9
True,True,3.0,2.0,1.0,15,0.9500000000000001
True,True,3.0,2.0,1.0,15,1.0
True,True,3.0,2.0,1.0,15,1.05
True,True,3.0,2.0,1.0,15,1.1
True,True,3.0,2.0,1.0,15,1.1500000000000001
True,True,3.0,2.0,1.0,15,1.2000000000000002
True,True,3.0,2.0,1.0,15,1.25
True,True,3.0,2.0,1.0,15,1.3
True,True,3.0,2.0,1.0,15,1.35
True,True,3.0,2.0,2.0,15,0.8
True,True,3.0,2.0,2.0,15,0.8500000000000001
True,True,3.0,2.0,2.0,15,0.9
True,True,3.0,2.0,2.0,15,0.9500000000000001
True,True,3.0,2.0,2.0,15,1.0
True,True,3.0,2.0,2.0,15,1.05
True,True,3.0,2.0,2.0,15,1.1
True,True,3.0,2.0,2.0,15,1.1500000000000001
True,True,3.0,2.0,2.0,15,1.2000000000000002
True,True,3.0,2.0,2.0,15,1.25
True,True,3.0,2.0,2.0,15,1.3
True,True,3.0,2.0,2.0,15,1.35
True,True,7.0,1.0,1.0,15,0.8
True,True,7.0,1.0,1.0,15,0.8500000000000001
True,True,7.0,1.0,1.0,15,0.9
True,True,7.0,1.0,1.0,15,0.9500000000000001
True,True,7.0,1.0,1.0,15,1.0
True,True,7.0,1.0,1.0,15,1.05
True,True,7.0,1.0,1.0,15,1.1
True,True,7.0,1.0,1.0,15,1.1500000000000001
True,True,7.0,1.0,1.0,15,1.2000000000000002
True,True,7.0,1.0,1.0,15,1.25
True,True,7.0,1.0,1.0,15,1.3
True,True,7.0,1.0,1.0,15,1.35
True,True,7.0,2.0,1.0,15,0.8
True,True,7.0,2.0,1.0,15,0.8500000000000001
True,True,7.0,2.0,1.0,15,0.9
True,True,7.0,2.0,1.0,15,0.9500000000000001
True,True,7.0,2.0,1.0,15,1.0
True,True,7.0,2.0,1.0,15,1.05
True,True,7.0,2.0,1.0,15,1.1
True,True,7.0,2.0,1.0,15,1.1500000000000001
True,True,7.0,2.0,1.0,15,1.2000000000000002
True,True,7.0,2.0,1.0,15,1.25
True,True,7.0,2.0,1.0,15,1.3
True,True,7.0,2.0,1.0,15,1.35
True,True,7.0,2.0,2.0,15,0.8
True,True,7.0,2.0,2.0,15,0.8500000000000001
True,True,7.0,2.0,2.0,15,0.9
True,True,7.0,2.0,2.0,15,0.9500000000000001
True,True,7.0,2.0,2.0,15,1.0
True,True,7.0,2.0,2.0,15,1.05
True,True,7.0,2.0,2.0,15,1.1
True,True,7.0,2.0,2.0,15,1.1500000000000001
True,True,7.0,2.0,2.0,15,1.2000000000000002
True,True,7.0,2.0,2.0,15,1.25
True,True,7.0,2.0,2.0,15,1.3
True,True,7.0,2.0,2.0,15,1.35
True,True,13.0,1.0,1.0,15,0.8
True,True,13.0,1.0,1.0,15,0.8500000000000001
True,True,13.0,1.0,1.0,15,0.9
True,True,13.0,1.0,1.0,15,0.9500000000000001
True,True,13.0,1.0,1.0,15,1.0
True,True,13.0,1.0,1.0,15,1.05
True,True,13.0,1.0,1.0,15,1.1
True,True,13.0,1.0,1.0,15,1.1500000000000001
True,True,13.0,1.0,1.0,15,1.2000000000000002
True,True,13.0,1.0,1.0,15,1.25
True,True,13.0,1.0,1.0,15,1.3
True,True,13.0,1.0,1.0,15,1.35
True,True,13.0,2.0,1.0,15,0.8
True,True,13.0,2.0,1.0,15,0.8500000000000001
True,True,13.0,2.0,1.0,15,0.9
True,True,13.0,2.0,1.0,15,0.9500000000000001
True,True,13.0,2.0,1.0,15,1.0
True,True,13.0,2.0,1.0,15,1.05
True,True,13.0,2.0,1.0,15,1.1
True,True,13.0,2.0,1.0,15,1.1500000000000001
True,True,13.0,2.0,1.0,15,1.2000000000000002
True,True,13.0,2.0,1.0,15,1.25
True,True,13.0,2.0,1.0,15,1.3
True,True,13.0,2.0,1.0,15,1.35
True,True,13.0,2.0,2.0,15,0.8
True,True,13.0,2.0,2.0,15,0.8500000000000001
True,True,13.0,2.0,2.0,15,0.9
True,True,13.0,2.0,2.0,15,0.9500000000000001
True,True,13.0,2.0,2.0,15,1.0
True,True,13.0,2.0,2.0,15,1.05
True,True,13.0,2.0,2.0,15,1.1
True,True,13.0,2.0,2.0,15,1.1500000000000001
True,True,13.0,2.0,2.0,15,1.2000000000000002
True,True,13.0,2.0,2.0,15,1.25
True,True,13.0,2.0,2.0,15,1.3
True,True,13.0,2.0,2.0,15,1.35
True,True,3.0,1.0,1.0,20,0.8
True,True,3.0,1.0,1.0,20,0.8500000000000001
True,True,3.0,1.0,1.0,20,0.9
True,True,3.0,1.0,1.0,20,0.9500000000000001
True,True,3.0,1.0,1.0,20,1.0
True,True,3.0,1.0,1.0,20,1.05
True,True,3.0,1.0,1.0,20,1.1
True,True,3.0,1.0,1.0,20,1.1500000000000001
True,True,3.0,1.0,1.0,20,1.2000000000000002
True,True,3.0,1.0,1.0,20,1.25
True,True,3.0,1.0,1.0,20,1.3
True,True,3.0,1.0,1.0,20,1.35
True,True,3.0,2.0,1.0,20,0.8
True,True,3.0,2.0,1.0,20,0.8500000000000001
True,True,3.0,2.0,1.0,20,0.9
True,True,3.0,2.0,1.0,20,0.9500000000000001
True,True,3.0,2.0,1.0,20,1.0
True,True,3.0,2.0,1.0,20,1.05
True,True,3.0,2.0,1.0,20,1.1
True,True,3.0,2.0,1.0,20,1.1500000000000001
True,True,3.0,2.0,1.0,20,1.2000000000000002
True,True,3.0,2.0,1.0,20,1.25
True,True,3.0,2.0,1.0,20,1.3
True,True,3.0,2.0,1.0,20,1.35
True,True,3.0,2.0,2.0,20,0.8
True,True,3.0,2.0,2.0,20,0.8500000000000001
True,True,3.0,2.0,2.0,20,0.9
True,True,3.0,2.0,2.0,20,0.9500000000000001
True,True,3.0,2.0,2.0,20,1.0
True,True,3.0,2.0,2.0,20,1.05
True,True,3.0,2.0,2.0,20,1.1
True,True,3.0,2.0,2.0,20,1.1500000000000001
True,True,3.0,2.0,2.0,20,1.2000000000000002
True,True,3.0,2.0,2.0,20,1.25
True,True,3.0,2.0,2.0,20,1.3
True,True,3.0,2.0,2.0,20,1.35
True,True,7.0,1.0,1.0,20,0.8
True,True,7.0,1.0,1.0,20,0.8500000000000001
True,True,7.0,1.0,1.0,20,0.9
True,True,7.0,1.0,1.0,20,0.9500000000000001
True,True,7.0,1.0,1.0,20,1.0
True,True,7.0,1.0,1.0,20,1.05
True,True,7.0,1.0,1.0,20,1.1
True,True,7.0,1.0,1.0,20,1.1500000000000001
True,True,7.0,1.0,1.0,20,1.2000000000000002
True,True,7.0,1.0,1.0,20,1.25
True,True,7.0,1.0,1.0,20,1.3
True,True,7.0,1.0,1.0,20,1.35
True,True,7.0,2.0,1.0,20,0.8
